time (s)	magX	magY	magZ
11218.860992	-5.297487	-150.988892	-16.783169
11218.864351	-5.239041	-152.333145	-17.542957
11218.867659	-5.414378	-152.566925	-18.185856
11218.870990	-5.005260	-153.911163	-18.887199
11218.874331	-5.589714	-154.320282	-19.237873
11218.877670	-5.823495	-155.489182	-19.530098
11218.881856	-5.648159	-157.242554	-20.231445
11218.885193	-6.232613	-157.885452	-21.575687
11218.888528	-5.589714	-158.995911	-21.984802
11218.891914	-5.940386	-160.223267	-22.510815
11218.894796	-6.232613	-160.690826	-22.686152
11218.898084	-6.115722	-162.093506	-23.036823
11218.901412	-6.641730	-163.671539	-23.738167
11218.904749	-6.407948	-164.840454	-25.374636
11218.907657	-6.407948	-166.652252	-26.368206
11218.910988	-6.758621	-168.054947	-26.952660
11218.914321	-6.992402	-168.464050	-27.654005
11218.917660	-7.050847	-169.808304	-29.348921
11218.920985	-7.167738	-171.386337	-30.284046
11218.924325	-6.875511	-173.139679	-31.219172
11218.927655	-7.343074	-174.600815	-31.862070
11218.930990	-7.752192	-176.120407	-33.498539
11218.934319	-6.933957	-178.575104	-33.849213
11218.937652	-6.933957	-179.685577	-35.193455
11218.940982	-7.226183	-181.497375	-36.362362
11218.944317	-7.693747	-182.958511	-37.297485
11218.947648	-7.459965	-185.237885	-38.524841
11218.951012	-7.576856	-187.634140	-40.278202
11218.954323	-7.459965	-188.978378	-41.388664
11218.957649	-8.161309	-191.608429	-42.616016
11218.960983	-8.687317	-193.361771	-44.427822
11218.964322	-8.278200	-195.582703	-45.713619
11218.967650	-7.927528	-197.452957	-47.876099
11218.970980	-7.810637	-200.024551	-49.687904
11218.974314	-8.745763	-201.602570	-51.032146
11218.977649	-8.804209	-203.648163	-53.019287
11218.981866	-8.921099	-208.849808	-57.519581
11218.985232	-8.804209	-211.772079	-60.617184
11218.988564	-8.921099	-214.051437	-61.669201
11218.991885	-9.330215	-216.155472	-63.773232
11218.994771	-9.271770	-218.960846	-66.637054
11218.998067	-9.330215	-222.292221	-69.267097
11219.001403	-9.213326	-224.922272	-71.371132
11219.004739	-10.382233	-227.376984	-73.942726
11219.007670	-10.557569	-230.474579	-76.864990
11219.010980	-10.499123	-233.572189	-79.261253
11219.014315	-10.849795	-236.728226	-82.475746
11219.017648	-10.791349	-239.299835	-85.105789
11219.020980	-11.083576	-241.520752	-88.203392
11219.024334	-10.732904	-245.144363	-91.300995
11219.027641	-11.434250	-248.943329	-95.742844
11219.030976	-11.317358	-251.982468	-98.314438
11219.034313	-11.960257	-255.021637	-102.873169
11219.037648	-11.668030	-258.645233	-106.321449
11219.040975	-11.609585	-262.619537	-111.230858
11219.044309	-12.077148	-266.301575	-115.205139
11219.047644	-12.544710	-270.217407	-120.406776
