time (s)	det(V)
5395.435717	1.599487	
5395.437286	1.630469	
5395.438930	1.634819	
5395.440525	1.634686	
5395.442157	1.634779	
5395.443780	1.634590	
5395.445392	1.634779	
5395.447026	1.634686	
5395.448636	1.634722	
5395.450275	1.634650	
5395.451869	1.634924	
5395.453546	1.634614	
5395.455114	1.634767	
5395.456814	1.634783	
5395.458361	1.634735	
5395.460082	1.634674	
5395.461637	1.634722	
5395.463324	1.634759	
5395.464867	1.634771	
5395.466565	1.634767	
5395.468059	1.634912	
5395.469832	1.634714	
5395.471316	1.634815	
5395.473105	1.634706	
5395.474590	1.634779	
5395.476384	1.634843	
5395.477866	1.634662	
5395.479632	1.634791	
5395.481130	1.634803	
5395.482898	1.634698	
5395.484399	1.629047	
5395.486144	1.575756	
5395.487656	1.530848	
5395.489394	1.473292	
5395.490917	1.440018	
5395.492650	1.380133	
5395.494192	1.334923	
5395.495900	1.284331	
5395.497468	1.244032	
5395.498962	1.191913	
5395.500534	1.148806	
5395.502053	1.106658	
5395.503699	1.055547	
5395.505186	1.016714	
5395.506830	0.967133	
5395.508323	0.932796	
5395.509970	0.886317	
5395.511456	0.847645	
5395.513095	0.806282	
5395.514571	0.775095	
5395.516211	0.724064	
5395.517703	0.696188	
5395.519363	0.660417	
5395.520892	0.625387	
5395.522533	0.587915	
5395.524103	0.569623	
5395.525699	0.531478	
5395.527299	0.502708	
5395.528872	0.478220	
5395.530486	0.449007	
5395.532121	0.426275	
5395.533746	0.403430	
5395.535377	0.382624	
5395.537027	0.356158	
5395.538638	0.335259	
5395.540309	0.315150	
5395.541908	0.301264	
5395.543591	0.280216	
5395.545168	0.263277	
5395.546855	0.246926	
5395.548450	0.231558	
5395.550139	0.210393	
5395.551712	0.201736	
5395.553419	0.184177	
5395.554965	0.172885	
5395.556666	0.160535	
5395.558199	0.159016	
5395.559924	0.140610	
5395.561424	0.135712	
5395.563172	0.123184	
5395.564670	0.115844	
5395.566472	0.101355	
5395.567956	0.098317	
5395.569733	0.089781	
5395.571213	0.081491	
5395.572988	0.070928	
5395.574476	0.078377	
5395.576224	0.066659	
5395.577730	0.059387	
5395.579523	0.056858	
5395.581020	0.056415	
5395.582756	0.039330	
5395.584276	0.042553	
5395.586008	0.038509	
5395.587543	0.035431	
5395.589250	0.026871	
5395.590789	0.029493	
5395.592457	0.024160	
5395.594034	0.022025	
5395.595704	0.019572	
5395.597272	0.016284	
5395.598920	0.013529	
5395.600506	0.010830	
5395.602141	0.009956	
5395.603755	0.009533	
5395.605360	0.002060	
5395.607024	0.001915	
5395.608598	0.003498	
5395.610249	-0.000530	
5395.611842	-0.000679	
5395.613499	-0.001605	
5395.615056	-0.003595	
5395.616757	-0.009944	
5395.618225	-0.006339	
5395.619790	-0.007950	
5395.621279	-0.009533	
5395.622898	-0.014810	
5395.624399	-0.001879	
5395.625983	-0.010125	
5395.627502	-0.011116	
5395.629019	-0.009863	
5395.630650	-0.012458	
5395.632141	-0.012732	
5395.633762	-0.013424	
5395.635297	-0.013956	
5395.636964	-0.014923	
5395.638435	-0.015463	
5395.640170	-0.016861	
5395.641643	-0.009263	
5395.643340	-0.014681	
5395.644824	-0.013630	
5395.646520	-0.013783	
5395.648005	-0.011451	
5395.649697	-0.020994	
5395.651183	-0.015064	
5395.652940	-0.016168	
5395.654427	-0.016007	
5395.656198	-0.020966	
5395.657692	-0.008417	
5395.659435	-0.014883	
5395.660949	-0.016051	
5395.662646	-0.014601	
5395.664176	-0.011237	
5395.665868	-0.022222	
5395.667431	-0.017666	
5395.669097	-0.016131	
5395.670673	-0.016405	
5395.672348	-0.017288	
5395.673925	-0.013428	
5395.675578	-0.014512	
5395.677165	-0.015833	
5395.678785	-0.015060	
5395.680412	-0.013231	
5395.682024	-0.015285	
5395.683662	-0.017779	
5395.685267	-0.014742	
5395.686911	-0.016683	
5395.688496	-0.016784	
5395.690158	-0.017328	
5395.691715	-0.010721	
5395.693421	-0.014307	
5395.694958	-0.013014	
5395.696668	-0.013364	
5395.698192	-0.011483	
5395.699915	-0.019133	
5395.701426	-0.014750	
5395.703170	-0.014883	
5395.704660	-0.015749	
5395.706437	-0.016724	
5395.707918	-0.006600	
5395.709696	-0.013134	
5395.711176	-0.014061	
5395.712927	-0.011882	
5395.714417	-0.008377	
5395.716167	-0.020140	
5395.717669	-0.012365	
5395.719377	-0.013541	
5395.720896	-0.013960	
5395.722604	-0.016051	
5395.724129	-0.007676	
5395.725808	-0.010858	
5395.727366	-0.012941	
5395.729042	-0.009948	
5395.730656	-0.009984	
5395.732140	-0.010798	
5395.733769	-0.013714	
5395.735289	-0.011060	
5395.736917	-0.012534	
5395.738398	-0.013150	
5395.740026	-0.012570	
5395.741508	-0.005186	
5395.743139	-0.010443	
5395.744623	-0.009618	
5395.746323	-0.009098	
5395.747806	-0.005404	
5395.749466	-0.015773	
5395.750975	-0.009863	
5395.752596	-0.010073	
5395.754137	-0.010101	
5395.755742	-0.010548	
5395.757311	-0.007027	
5395.758964	-0.008111	
5395.760538	-0.008820	
5395.762174	-0.007591	
